acquire_count,atomic_lock_avg_ns,atomic_ratio,avg_acquire_hold_ns,avg_credit_utilization,avg_latency_ns,avg_outstanding,avg_release_drain_ns,category,completed,credit_stall_rate,description,experiment,ext_payload_depth,int_avg_latency_ns,int_hdr_depth,int_max_latency_ns,latency_stddev_ns,max_acquire_hold_ns,max_latency_ns,max_release_drain_ns,offered_rate,ooo_enable,ooo_reorders,outstanding_limit,p50_latency_ns,p99_latency_ns,peak_credit_utilization,peak_outstanding,release_count,run_tag,seed,throughput_tps,words_per_s,workload,phase_split_txn
0.0,0.0,0.0,0.0,0.6186564236111111,557505.0191926415,5.678175,0.0,ooo,10000.0,12.5232,OoO frees in random order,OOO-F01,512,0.0,4,0.0,13.279056191361393,0.0,1187856.4674258057,0.0,0.65,1,5794.0,8,538421.6891608343,1174269.4672964432,0.8888888888888888,6,0.0,base,230,7628295.873676726,973257654.7022197,uniform_rw,
0.0,0.0,0.0,0.0,0.5734519097222223,395060.64503632416,5.58465,0.0,ooo,10000.0,14.0625,Long-lived and short-lived mix under OoO,OOO-F02,512,0.0,4,0.0,13.279056191361393,0.0,797977.1547053193,0.0,0.65,1,6188.0,8,394107.5160093674,789516.7448902735,0.8888888888888888,6,0.0,base,231,10857706.159128267,1395215241.4479823,uniform_rw,
0.0,0.0,0.0,0.0,0.29206197916666665,571399.5917637161,5.6650125,0.0,ooo,20000.0,9.05975,Fragmentation recovery after OoO stress,OOO-F03,512,0.0,4,0.0,13.279056191361393,0.0,795200.6372839885,0.0,0.65,1,12885.0,8,725137.0425233977,793218.8994382457,0.8888888888888888,6,0.0,recovery,232,20715194.11180075,1341308818.7390985,uniform_rw+recovery_single_word,10000
