case_id,subrun,txn_count,wall_s,sim_ns,total_pct,statements_pct,branches_pct,conditions_pct,expressions_pct,fsm_states_pct,fsm_transitions_pct,toggles_pct,covergroups_pct,func_cmd_cov_pct,func_rsp_cov_pct,ucdb,log
T357,T357_AXI4_perf_stream_T357_perf_stream_s1,64,2.719,14672,49.13,55.50,45.34,21.40,34.73,91.66,55.31,22.82,66.29,66.88,65.71,/tmp/sc_hub_cov_current/T357/ucdb/T357_AXI4_perf_stream_T357_perf_stream_s1_n64.ucdb,/tmp/sc_hub_cov_current/T357/logs/T357_n64.log
T357,T357_AXI4_perf_stream_T357_perf_stream_s1,128,3.136,,49.59,55.59,45.52,21.96,34.73,91.66,55.31,25.45,66.48,67.27,65.71,/tmp/sc_hub_cov_current/T357/ucdb/T357_AXI4_perf_stream_T357_perf_stream_s1_n128.ucdb,/tmp/sc_hub_cov_current/T357/logs/T357_n128.log
T357,T357_AXI4_perf_stream_T357_perf_stream_s1,256,3.703,,50.10,55.69,45.71,23.29,34.73,91.66,55.31,27.90,66.48,67.27,65.71,/tmp/sc_hub_cov_current/T357/ucdb/T357_AXI4_perf_stream_T357_perf_stream_s1_n256.ucdb,/tmp/sc_hub_cov_current/T357/logs/T357_n256.log
T357,T357_AXI4_perf_stream_T357_perf_stream_s1,512,4.906,105680,50.31,55.69,45.71,23.29,34.73,91.66,55.31,29.63,66.48,67.27,65.71,/tmp/sc_hub_cov_current/T357/ucdb/T357_AXI4_perf_stream_T357_perf_stream_s1_n512.ucdb,/tmp/sc_hub_cov_current/T357/logs/T357_n512.log
T357,T357_AXI4_perf_stream_T357_perf_stream_s1,768,6.086,153296,50.48,55.69,45.71,23.29,34.73,91.66,55.31,30.96,66.48,67.27,65.71,/tmp/sc_hub_cov_current/T357/ucdb/T357_AXI4_perf_stream_T357_perf_stream_s1_n768.ucdb,/tmp/sc_hub_cov_current/T357/logs/T357_n768.log
