case_id,subrun,txn_count,wall_s,sim_ns,total_pct,statements_pct,branches_pct,conditions_pct,expressions_pct,fsm_states_pct,fsm_transitions_pct,toggles_pct,covergroups_pct,func_cmd_cov_pct,func_rsp_cov_pct,ucdb,log
T351,T351_aggregate,64,36.902,,29.06,49.01,32.72,14.39,13.68,54.16,23.40,8.89,36.22,37.27,35.18,/tmp/sc_hub_cov_extra/T351/ucdb/T351_aggregate_n64.ucdb,/tmp/sc_hub_cov_extra/T351/logs/T351_n64.log
T351,T351_aggregate,128,40.063,,29.28,49.10,32.90,14.96,13.68,54.16,23.40,9.79,36.22,37.27,35.18,/tmp/sc_hub_cov_extra/T351/ucdb/T351_aggregate_n128.ucdb,/tmp/sc_hub_cov_extra/T351/logs/T351_n128.log
T351,T351_aggregate,256,43.947,46032,29.55,49.19,33.08,16.28,13.68,54.16,23.40,10.37,36.22,37.27,35.18,/tmp/sc_hub_cov_extra/T351/ucdb/T351_aggregate_n256.ucdb,/tmp/sc_hub_cov_extra/T351/logs/T351_n256.log
T351,T351_aggregate,512,52.067,128848,29.58,49.19,33.08,16.28,13.68,54.16,23.40,10.62,36.22,37.27,35.18,/tmp/sc_hub_cov_extra/T351/ucdb/T351_aggregate_n512.ucdb,/tmp/sc_hub_cov_extra/T351/logs/T351_n512.log
T351,T351_aggregate,768,63.219,,29.59,49.19,33.08,16.28,13.68,54.16,23.40,10.67,36.22,37.27,35.18,/tmp/sc_hub_cov_extra/T351/ucdb/T351_aggregate_n768.ucdb,/tmp/sc_hub_cov_extra/T351/logs/T351_n768.log
