step,case_id,txn_count,wall_s,cumulative_wall_s,delta_total_pct,delta_total_pct_per_s,total_pct,statements_pct,branches_pct,conditions_pct,expressions_pct,fsm_states_pct,fsm_transitions_pct,toggles_pct,covergroups_pct,merged_ucdb
1,T341,768,6.598,6.598,41.27,6.255,41.27,53.71,41.11,20.26,26.31,75.00,42.55,21.04,50.15,/tmp/sc_hub_cov_current/suite_core/suite_step01_T341.ucdb
2,T356,768,7.199,13.797,5.47,0.760,46.74,56.32,44.85,24.22,32.32,79.31,49.12,25.09,62.72,/tmp/sc_hub_cov_current/suite_core/suite_step02_T356.ucdb
3,T357,768,6.086,19.883,6.55,1.076,53.29,58.02,48.68,26.98,38.38,93.10,59.64,31.38,70.09,/tmp/sc_hub_cov_current/suite_core/suite_step03_T357.ucdb
