case_id,subrun,txn_count,wall_s,sim_ns,total_pct,statements_pct,branches_pct,conditions_pct,expressions_pct,fsm_states_pct,fsm_transitions_pct,toggles_pct,covergroups_pct,func_cmd_cov_pct,func_rsp_cov_pct,ucdb,log
T341,T341_AXI4_perf_stream_T341_perf_stream_s1,64,2.847,,40.34,53.49,40.62,17.99,26.31,75.00,42.55,16.65,50.15,47.81,52.50,/tmp/sc_hub_cov_current/T341/ucdb/T341_AXI4_perf_stream_T341_perf_stream_s1_n64.ucdb,/tmp/sc_hub_cov_current/T341/logs/T341_n64.log
T341,T341_AXI4_perf_stream_T341_perf_stream_s1,128,3.139,,40.76,53.62,40.93,18.93,26.31,75.00,42.55,18.61,50.15,47.81,52.50,/tmp/sc_hub_cov_current/T341/ucdb/T341_AXI4_perf_stream_T341_perf_stream_s1_n128.ucdb,/tmp/sc_hub_cov_current/T341/logs/T341_n128.log
T341,T341_AXI4_perf_stream_T341_perf_stream_s1,256,3.837,58640,41.17,53.71,41.11,20.26,26.31,75.00,42.55,20.25,50.15,47.81,52.50,/tmp/sc_hub_cov_current/T341/ucdb/T341_AXI4_perf_stream_T341_perf_stream_s1_n256.ucdb,/tmp/sc_hub_cov_current/T341/logs/T341_n256.log
T341,T341_AXI4_perf_stream_T341_perf_stream_s1,512,5.214,,41.23,53.71,41.11,20.26,26.31,75.00,42.55,20.79,50.15,47.81,52.50,/tmp/sc_hub_cov_current/T341/ucdb/T341_AXI4_perf_stream_T341_perf_stream_s1_n512.ucdb,/tmp/sc_hub_cov_current/T341/logs/T341_n512.log
T341,T341_AXI4_perf_stream_T341_perf_stream_s1,768,6.598,,41.27,53.71,41.11,20.26,26.31,75.00,42.55,21.04,50.15,47.81,52.50,/tmp/sc_hub_cov_current/T341/ucdb/T341_AXI4_perf_stream_T341_perf_stream_s1_n768.ucdb,/tmp/sc_hub_cov_current/T341/logs/T341_n768.log
