case_id,subrun,txn_count,wall_s,sim_ns,total_pct,statements_pct,branches_pct,conditions_pct,expressions_pct,fsm_states_pct,fsm_transitions_pct,toggles_pct,covergroups_pct,func_cmd_cov_pct,func_rsp_cov_pct,ucdb,log
T343,T343_AVALON_perf_stream_T343_perf_stream_s1,64,3.679,,36.42,50.59,39.55,17.67,13.04,70.00,33.80,16.74,49.96,47.42,52.50,/tmp/sc_hub_cov_extra/T343/ucdb/T343_AVALON_perf_stream_T343_perf_stream_s1_n64.ucdb,/tmp/sc_hub_cov_extra/T343/logs/T343_n64.log
T343,T343_AVALON_perf_stream_T343_perf_stream_s1,128,3.442,,36.94,50.79,40.07,18.71,13.04,70.00,33.80,18.98,50.15,47.81,52.50,/tmp/sc_hub_cov_extra/T343/ucdb/T343_AVALON_perf_stream_T343_perf_stream_s1_n128.ucdb,/tmp/sc_hub_cov_extra/T343/logs/T343_n128.log
T343,T343_AVALON_perf_stream_T343_perf_stream_s1,256,4.283,,37.37,50.89,40.27,20.16,13.04,70.00,33.80,20.69,50.15,47.81,52.50,/tmp/sc_hub_cov_extra/T343/ucdb/T343_AVALON_perf_stream_T343_perf_stream_s1_n256.ucdb,/tmp/sc_hub_cov_extra/T343/logs/T343_n256.log
T343,T343_AVALON_perf_stream_T343_perf_stream_s1,512,6.068,,37.44,50.89,40.27,20.16,13.04,70.00,33.80,21.19,50.15,47.81,52.50,/tmp/sc_hub_cov_extra/T343/ucdb/T343_AVALON_perf_stream_T343_perf_stream_s1_n512.ucdb,/tmp/sc_hub_cov_extra/T343/logs/T343_n512.log
T343,T343_AVALON_perf_stream_T343_perf_stream_s1,768,7.771,,37.48,50.89,40.27,20.16,13.04,70.00,33.80,21.54,50.15,47.81,52.50,/tmp/sc_hub_cov_extra/T343/ucdb/T343_AVALON_perf_stream_T343_perf_stream_s1_n768.ucdb,/tmp/sc_hub_cov_extra/T343/logs/T343_n768.log
